wavelength,temp 10 strain 20,temp 20 strain 40,temp 30 strain 60,temp 40 strain 80,temp 50 strain 100,temp 25 strain 500,temp 25 strain 1000,reference temp 25 strain 0
1.559020000E-06,-29.19738392,-29.19640038,-28.99349054,-28.60535629,-28.30109204,-12.17909166,-14.82990887,-15.1217181
1.559020000E-06,-29.13962014,-29.15205649,-28.93384063,-28.59075434,-28.27213051,-12.15735566,-14.82318007,-15.08891114
1.559020000E-06,-29.0755426,-29.0609104,-28.85959489,-28.56148817,-28.24956458,-12.14098377,-14.80965989,-15.0641308
1.559020000E-06,-28.96445002,-28.91846434,-28.83967901,-28.55294115,-28.20919011,-12.11263603,-14.78879951,-15.02112108
1.559020000E-06,-28.9293957,-28.72116795,-28.81929999,-28.5212244,-28.18948606,-12.09924029,-14.75996943,-15.0007447
1.559020000E-06,-28.78351884,-28.68530099,-28.68886165,-28.50469731,-28.15262217,-12.07495953,-14.7547939,-14.9637084
1.559020000E-06,-28.70200159,-28.61719449,-28.6217334,-28.48135333,-28.12262336,-12.0557969,-14.7452088,-14.93440841
1.559020000E-06,-28.65267357,-28.49843693,-28.60571615,-28.46460854,-28.08556383,-12.03282354,-14.72876988,-14.89919498
1.559020000E-06,-28.59554319,-28.45193339,-28.50531983,-28.44679424,-28.06929962,-12.02303962,-14.72245111,-14.88415276
1.559020000E-06,-28.46603837,-28.41322457,-28.39471956,-28.41401382,-27.99930657,-11.98209122,-14.71732807,-14.82107829
1.559020000E-06,-28.24383492,-28.370411,-28.34157568,-28.36805989,-27.98448494,-11.97365481,-14.71180999,-14.80805773
1.559020000E-06,-28.1907819,-28.30422021,-28.25453248,-28.32835113,-27.92320547,-11.93971107,-14.70347766,-14.75554562
1.559020000E-06,-28.15238992,-28.23358752,-28.23630126,-28.28009849,-27.8568723,-11.90384054,-14.69476759,-14.70001751
1.559020000E-06,-28.03907565,-28.12708799,-28.15518378,-28.19274437,-27.7523364,-11.8484923,-14.68184784,-14.61439926
1.559020000E-06,-27.97902856,-27.99490481,-28.08289913,-28.17781885,-27.71955083,-11.83151863,-14.66597181,-14.58812991
1.559020000E-06,-27.94679891,-27.92698628,-27.97828555,-28.11932873,-27.6358679,-11.78917719,-14.65792625,-14.52251632
1.559020000E-06,-27.8456563,-27.87744895,-27.94186905,-28.06134589,-27.52875413,-11.73595768,-14.65218598,-14.44012901
1.559020000E-06,-27.7128529,-27.76980775,-27.82976603,-27.97743764,-27.51480431,-11.7291762,-14.63993311,-14.42961771
1.559020000E-06,-27.65065483,-27.73823622,-27.72481554,-27.94464206,-27.49649468,-11.72050838,-14.63640901,-14.41612812
1.559020000E-06,-27.50602307,-27.71431123,-27.62935678,-27.89516351,-27.46017619,-11.70373589,-14.6338122,-14.3899368
1.559020000E-06,-27.41851118,-27.67074417,-27.58750018,-27.84447211,-27.43251202,-11.69126079,-14.62920791,-14.37039508
1.559020000E-06,-27.34193619,-27.52488342,-27.54141857,-27.81696317,-27.22136493,-11.59719828,-14.61400675,-14.22333227
1.559020000E-06,-27.30418221,-27.33064018,-27.51407671,-27.66962343,-27.19651794,-11.58626344,-14.59373022,-14.20626607
1.559020000E-06,-27.26725052,-27.29140053,-27.44009576,-27.58186854,-27.17741009,-11.57805402,-14.58967247,-14.19340491
1.559020000E-06,-27.22055072,-27.256499,-27.38746467,-27.513855,-27.15518294,-11.56872958,-14.58615486,-14.1787402
1.559020000E-06,-27.1538079,-27.2247956,-27.1883705,-27.36167091,-27.12410406,-11.55598464,-14.58304284,-14.15862449
1.559020000E-06,-27.10018413,-27.13843916,-27.14340472,-27.33630135,-26.9775175,-11.49669798,-14.57474189,-14.06503047
1.559020000E-06,-26.69571141,-27.10057301,-27.11830693,-27.26042314,-26.93988028,-11.48167454,-14.57117517,-14.04131143
1.559020000E-06,-26.68466915,-27.06380869,-27.07942519,-27.22097567,-26.88701948,-11.46097555,-14.56779903,-14.0085456
1.559020000E-06,-26.66646678,-27.0086027,-26.88695752,-27.15536203,-26.83839062,-11.44227523,-14.56284721,-13.97887326
1.559020000E-06,-26.57081438,-26.82804656,-26.82301369,-27.15264056,-26.81699802,-11.43421173,-14.54678628,-13.96603747
1.559020000E-06,-26.44160673,-26.76155225,-26.76023762,-27.06422741,-26.79822853,-11.42728988,-14.54091417,-13.95497485
1.559020000E-06,-26.40336341,-26.71034307,-26.66632144,-27.00828206,-26.74407882,-11.40769952,-14.53648467,-13.92356521
1.559020000E-06,-26.29080451,-26.67513027,-26.59155789,-26.91384783,-26.62668439,-11.36571814,-14.53351103,-13.85620574
1.559020000E-06,-26.20094859,-26.61110933,-26.54127636,-26.86041534,-26.57723225,-11.34823948,-14.52822539,-13.82813603
1.559020000E-06,-26.16841179,-26.5719467,-26.51869824,-26.74238252,-26.53170626,-11.33241547,-14.52506299,-13.80265494
