wavelength,temp 10,temp 20,temp 30,temp 40,temp 50,temp 25 (500),temp 25 (1000),reference temp 25
1.559030000E-06,-17.03530384,-15.86325914,-26.83383044,-19.28102811,-15.40797054,-19.22456826,-18.63496865,-19.2244631
1.559030000E-06,-16.9970761,-15.7967155,-26.79477677,-19.23137784,-15.37202613,-19.17865606,-18.5573623,-19.17855108
1.559030000E-06,-16.97987783,-15.75958123,-26.77803894,-19.12324231,-15.33011261,-19.12495036,-18.51398276,-19.12484559
1.559030000E-06,-16.90998402,-15.73379559,-26.74948507,-19.06185889,-15.2732837,-19.05195604,-18.48378784,-19.05185157
1.559030000E-06,-16.87924335,-15.70106686,-26.59249205,-19.02301721,-15.26608104,-19.04267176,-18.44536819,-19.04256733
1.559030000E-06,-16.80110366,-15.6689602,-26.49776233,-19.02156203,-15.25126781,-19.023484,-18.40759189,-19.02337965
1.559030000E-06,-16.79519722,-15.62648647,-26.11277078,-18.98247157,-15.21520256,-18.97658776,-18.35751423,-18.97648362
1.559030000E-06,-16.7731414,-15.54263189,-25.82210023,-18.92984826,-15.13377541,-18.87054694,-18.25855164,-18.87044328
1.559030000E-06,-16.74547314,-15.53364342,-25.78896914,-18.88813318,-15.10664036,-18.83514561,-18.24792616,-18.8350421
1.559030000E-06,-16.71848217,-15.40806877,-25.76558563,-18.86891753,-15.02357945,-18.72659957,-18.09937483,-18.72649656
1.559030000E-06,-16.70120527,-15.37088306,-25.58752704,-18.84180029,-14.98698275,-18.67871021,-18.05537911,-18.67860741
1.559030000E-06,-16.68596304,-15.31988918,-25.52168522,-18.70067636,-14.88154425,-18.54067025,-17.99494555,-18.5405681
1.559030000E-06,-16.65628079,-15.27217154,-25.51372452,-18.68110581,-14.83395002,-18.47835352,-17.93831437,-18.47825165
1.559030000E-06,-16.62806091,-15.25083388,-25.4216427,-18.67215986,-14.7766981,-18.40325845,-17.91293936,-18.40315693
1.559030000E-06,-16.54392829,-15.1586935,-25.37393453,-18.65636462,-14.71467113,-18.32180059,-17.80325327,-18.32169947
1.559030000E-06,-16.33361092,-15.09390981,-25.23196624,-18.62946228,-14.7057909,-18.31010405,-17.72612831,-18.31000298
1.559030000E-06,-16.3005147,-15.07870999,-25.10550392,-18.62129823,-14.65621205,-18.2445838,-17.7080015,-18.24448305
1.559030000E-06,-16.2506358,-15.03735574,-25.05841638,-18.57567385,-14.62450839,-18.2025829,-17.65857455,-18.20248236
1.559030000E-06,-16.24215465,-15.02034265,-24.96594147,-18.55049153,-14.59500033,-18.16336664,-17.6381965,-18.1632663
1.559030000E-06,-16.22753997,-14.99143778,-24.83940799,-18.52833107,-14.57302421,-18.13405794,-17.60349134,-18.13395776
1.559030000E-06,-16.18344946,-14.93578321,-24.71756849,-18.51992944,-14.54120008,-18.09147217,-17.53656954,-18.09137221
1.559030000E-06,-16.15189611,-14.84404977,-24.56155233,-18.49570191,-14.50304314,-18.04027405,-17.42626482,-18.04017437
1.559030000E-06,-16.10613856,-14.80994547,-24.46933713,-18.41509115,-14.44368805,-17.96050713,-17.38523558,-17.96040787
1.559030000E-06,-16.06163123,-14.71582653,-24.248316,-18.36984493,-14.38527648,-17.88194913,-17.27195922,-17.8818503
1.559030000E-06,-16.05354,-14.64827257,-24.21920369,-18.35920131,-14.32569095,-17.80175461,-17.19068511,-17.80165623
1.559030000E-06,-16.0008422,-14.63840751,-24.01670405,-18.3390348,-14.26961972,-17.72623022,-17.17879754,-17.72613226
1.559030000E-06,-15.97153195,-14.57668029,-23.77381061,-18.27169697,-14.22644907,-17.66799939,-17.1042898,-17.66790175
1.559030000E-06,-15.88248097,-14.52495625,-23.60650247,-18.25936515,-14.2079156,-17.64292789,-17.04181425,-17.64283039
1.559020000E-06,-15.83799818,-14.46132684,-23.5517817,-18.24427287,-14.19285859,-17.62247758,-16.96491203,-17.62238019
1.559020000E-06,-15.81477714,-14.35154662,-23.51644821,-18.22872501,-14.16373732,-17.58278558,-16.83233772,-17.58268843
1.559020000E-06,-15.76412076,-14.32976076,-23.4525986,-18.20325193,-14.12972543,-17.53630225,-16.80602254,-17.53620538
